y_true,y_score,subject
0.0,0.06743103,x06
0.0,0.05989596,x06
0.0,0.1037469,x06
0.0,0.091194406,x06
0.0,0.28846514,x06
0.0,0.2380528,x06
0.0,0.27258876,x06
0.0,0.24714138,x06
0.0,0.14420614,x06
0.0,0.12693489,x06
0.0,0.2631483,x06
0.0,0.16143449,x06
0.0,0.22135411,x06
0.0,0.22296454,x06
0.0,0.2161918,x06
0.0,0.2662461,x06
0.0,0.109683715,x06
0.0,0.14507824,x06
0.0,0.07748181,x06
0.0,0.07394444,x06
0.0,0.076008275,x06
0.0,0.010030763,x06
0.0,0.047799334,x06
0.0,0.25209337,x06
0.0,0.1979375,x06
0.0,0.30250493,x06
0.0,0.30219784,x06
0.0,0.19561128,x06
0.0,0.23756032,x06
0.0,0.13815436,x06
0.0,0.20879772,x06
0.0,0.26297402,x06
0.0,0.20442493,x06
0.0,0.3539555,x06
0.0,0.3621036,x06
0.0,0.3260766,x06
0.0,0.18574028,x06
0.0,0.16735643,x06
0.0,0.123405606,x06
0.0,0.12636967,x06
0.0,0.16282839,x06
0.0,0.009967145,x06
0.0,0.002551246,x06
0.0,0.0010731698,x06
0.0,0.0010940436,x06
0.0,0.0034820177,x06
0.0,0.0062187044,x06
0.0,0.009098364,x06
0.0,0.027592536,x06
0.0,0.007932033,x06
0.0,0.008705256,x06
0.0,0.008397805,x06
0.0,0.008010016,x06
0.0,0.19739525,x06
0.0,0.11409878,x06
0.0,0.09404845,x06
0.0,0.12415064,x06
0.0,0.014313371,x06
0.0,0.022177335,x06
0.0,0.03872277,x06
0.0,0.06543895,x06
0.0,0.04723952,x06
0.0,0.0148109775,x06
0.0,0.0071807667,x06
0.0,0.0044567715,x06
0.0,0.002837377,x06
0.0,0.011526461,x06
0.0,0.010361142,x06
0.0,0.019652907,x06
0.0,0.006503447,x06
0.0,0.0024219747,x06
0.0,0.0025025762,x06
0.0,0.0021181046,x06
0.0,0.001707235,x06
0.0,0.00037577198,x06
0.0,0.0005206902,x06
0.0,0.00022883635,x06
0.0,0.0005237525,x06
0.0,0.00031468357,x06
0.0,0.0035424596,x06
0.0,0.0023616394,x06
0.0,0.035379652,x06
0.0,0.07464849,x06
0.0,0.19572592,x06
0.0,0.10876717,x06
0.0,0.54391336,x06
0.0,0.19538978,x06
0.0,0.21586385,x06
0.0,0.09214413,x06
0.0,0.011391355,x06
0.0,0.002027942,x06
0.0,0.0033693267,x06
0.0,0.0029619134,x06
0.0,0.0031122956,x06
0.0,0.002655674,x06
0.0,0.0013837708,x06
0.0,0.0023810964,x06
0.0,0.0051481347,x06
0.0,0.007041092,x06
0.0,0.009137334,x06
0.0,0.02148816,x06
0.0,0.2042257,x06
0.0,0.14969042,x06
0.0,0.11467724,x06
0.0,0.12421145,x06
0.0,0.073065475,x06
0.0,0.0018988396,x06
0.0,0.002462112,x06
0.0,0.0012426286,x06
0.0,0.003775659,x06
0.0,0.0061171227,x06
0.0,0.0048375707,x06
0.0,0.0047321026,x06
0.0,0.007102095,x06
0.0,0.0055374512,x06
0.0,0.005177246,x06
0.0,0.0013680884,x06
0.0,0.0027014704,x06
0.0,0.0011895837,x06
0.0,0.0024195078,x06
0.0,0.14656547,x06
0.0,0.10677269,x06
0.0,0.107637204,x06
0.0,0.1388636,x06
0.0,0.074623175,x06
0.0,0.0021262213,x06
0.0,0.004437193,x06
0.0,0.001767894,x06
0.0,0.0011046417,x06
0.0,0.0036645718,x06
0.0,0.0018597055,x06
0.0,0.0016299413,x06
0.0,0.0030880664,x06
0.0,0.0028151427,x06
0.0,0.0024033368,x06
0.0,0.003960611,x06
0.0,0.0013241159,x06
0.0,0.004526134,x06
0.0,0.02462117,x06
0.0,0.008240812,x06
0.0,0.010447472,x06
0.0,0.015550684,x06
0.0,0.0015611612,x06
0.0,0.0016878656,x06
0.0,0.0016927528,x06
0.0,0.0024997662,x06
0.0,0.0043911296,x06
0.0,0.0030704485,x06
0.0,0.002422189,x06
0.0,0.0074492753,x06
0.0,0.0063138017,x06
0.0,0.0060875253,x06
0.0,0.012003584,x06
0.0,0.009610369,x06
0.0,0.0038594059,x06
0.0,0.0063320897,x06
0.0,0.0069270427,x06
0.0,0.0042192326,x06
0.0,0.01594374,x06
0.0,0.031315636,x06
0.0,0.2814121,x06
0.0,0.16362081,x06
0.0,0.21379124,x06
0.0,0.5020522,x06
0.0,0.19347359,x06
0.0,0.083306886,x06
0.0,0.12268154,x06
0.0,0.08074812,x06
0.0,0.0009671426,x06
0.0,0.0067459866,x06
0.0,0.014031069,x06
0.0,0.00922163,x06
0.0,0.030226408,x06
0.0,0.106722474,x06
